timestamp,strategy_id,leg,decision,mode,spot,vix,pcr_oi,max_pain,max_pain_dist_pct,iv_skew_ratio,move_from_open_pct,morning_range_pct,dte,hour,minute,day_of_week,is_expiry,rule_score,ai_adj,final_score,threshold,regime,entry_premium,quantity,exit_reason,outcome_pnl,held_minutes
2026-04-08T10:43:00+05:30,portfolio_replay,TREND,EXIT,debit_spread,23952.2,19.69,0.6047489376982464,23700.0,1.05,1.179,3.607,0.218,13,10,43,2,0,0,0,0,0,trending,0.0,0,Trend profit: spread at 56.0% of max,75.0,38
2026-04-08T15:15:00+05:30,portfolio_replay,PREMIUM,EXIT,iron_condor,24029.0,19.69,0.6503166634680457,23850.0,0.74,1.105,3.939,0.217,13,15,15,2,0,0,0,0,0,trending,0.0,0,Time exit,352.5,334
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:41:00+05:30,portfolio_replay,PREMIUM,ENTER,iron_condor,23936.95,19.95,0.5718456485411905,23500.0,1.83,1.139,3.541,0.025,13,9,41,2,0,45,0,45,75,trending,61.25,75,,,
2026-04-08T10:05:00+05:30,portfolio_replay,TREND,ENTER,debit_spread,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,50,0,50,60,trending,55.0,75,,,
2026-04-08T10:43:00+05:30,portfolio_replay,TREND,EXIT,debit_spread,23952.2,19.69,0.6047489376982464,23700.0,1.05,1.179,3.607,0.218,13,10,43,2,0,0,0,0,0,trending,0.0,0,Trend profit: spread at 56.0% of max,75.0,38
2026-04-08T15:15:00+05:30,portfolio_replay,PREMIUM,EXIT,iron_condor,24029.0,19.69,0.6503166634680457,23850.0,0.74,1.105,3.939,0.217,13,15,15,2,0,0,0,0,0,trending,0.0,0,Time exit,352.5,334
2026-04-08T09:41:00+05:30,portfolio_replay,PREMIUM,ENTER,iron_condor,23936.95,19.95,0.5718456485411905,23500.0,1.83,1.139,3.541,0.025,13,9,41,2,0,45,0,45,75,trending,61.25,75,,,
2026-04-08T10:05:00+05:30,portfolio_replay,TREND,ENTER,debit_spread,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,50,0,50,60,trending,55.0,75,,,
2026-04-08T10:43:00+05:30,portfolio_replay,TREND,EXIT,debit_spread,23952.2,19.69,0.6047489376982464,23700.0,1.05,1.179,3.607,0.218,13,10,43,2,0,0,0,0,0,trending,0.0,0,Trend profit: spread at 56.0% of max,75.0,38
2026-04-08T15:15:00+05:30,portfolio_replay,PREMIUM,EXIT,iron_condor,24029.0,19.69,0.6503166634680457,23850.0,0.74,1.105,3.939,0.217,13,15,15,2,0,0,0,0,0,trending,0.0,0,Time exit,352.5,334
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T10:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,24000.85,19.48,0.6165121060182515,23700.0,1.25,1.133,3.817,0.388,13,10,55,2,0,47,0,47,65,trending,0.0,0,,,
2026-04-08T09:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23952.4,19.84,0.5736376339077783,23500.0,1.89,1.157,3.608,3.514,13,9,45,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23982.1,19.87,0.5890657638838868,23500.0,2.01,1.153,3.736,3.66,13,9,50,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T09:55:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23953.1,19.86,0.5877992761692651,23500.0,1.89,1.151,3.611,3.667,13,9,55,2,0,20,0,20,75,trending,0.0,0,,,
2026-04-08T10:00:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23937.1,19.89,0.5873849970710865,23500.0,1.83,1.148,3.541,3.667,13,10,0,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:05:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23948.25,19.75,0.5701760179650606,23500.0,1.87,1.167,3.59,3.667,13,10,5,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:10:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23920.1,19.84,0.5673480680967417,23500.0,1.76,1.136,3.468,3.667,13,10,10,2,0,20,0,20,65,trending,0.0,0,,,
2026-04-08T10:15:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23901.9,19.88,0.5630440389451287,23500.0,1.68,1.127,3.389,0.285,13,10,15,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:20:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23922.5,19.83,0.5649135480628799,23500.0,1.77,1.148,3.478,0.335,13,10,20,2,0,32,0,32,65,trending,0.0,0,,,
2026-04-08T10:25:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23910.8,19.82,0.5757260928220317,23600.0,1.3,1.127,3.428,0.246,13,10,25,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:30:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23943.8,19.74,0.5843461651031316,23600.0,1.44,1.133,3.57,0.194,13,10,30,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:35:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23941.1,19.76,0.5930955051071439,23650.0,1.22,1.123,3.559,0.218,13,10,35,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:40:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23938.5,19.76,0.5993815856623939,23650.0,1.21,1.135,3.547,0.218,13,10,40,2,0,45,0,45,65,trending,0.0,0,,,
2026-04-08T10:45:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23969.45,19.65,0.6051576617004727,23700.0,1.12,1.145,3.681,0.298,13,10,45,2,0,60,0,60,65,trending,0.0,0,,,
2026-04-08T10:50:00+05:30,portfolio_replay,PREMIUM,SKIP,idle,23978.8,19.6,0.6108418915514456,23700.0,1.16,1.131,3.722,0.353,13,10,50,2,0,47,0,47,65,trending,0.0,0,,,
